구분,총계,"2013년 이전
설치된 CCTV",2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년
계,"85,242","5,001","3,758","4,011","6,659","8,812","11,569","10,880","12,541","11,561","8,614","1,836"
종로구,"1,855",21,537,120,161,134,165,166,69,254,76,152
중 구,"2,447",130,87,77,236,240,372,386,155,361,403,0
용산구,"2,611",105,234,125,221,298,351,125,307,617,228,
성동구,"3,922",321,211,111,327,255,973,415,491,472,283,63
광진구,"3,214",46,85,177,95,40,666,460,712,190,739,4
동대문구,"2,631",4,14,16,115,804,814,201,218,223,219,3
중랑구,"3,918",345,253,88,149,178,174,215,1059,976,471,10
성북구,"4,611",137,170,229,322,594,811,867,714,253,407,107
강북구,"2,800",0,21,17,89,218,5,379,980,573,436,82
도봉구,"2,091",104,2,81,73,106,126,209,205,183,603,399
노원구,"2,492",87,164,77,514,331,175,216,320,387,221,0
은평구,"4,478",17,44,332,329,555,403,635,1057,288,471,347
서대문구,"3,271",326,144,144,121,254,524,389,344,596,207,222
마포구,"2,570",55,40,112,185,480,367,368,494,300,163,6
양천구,"3,650",245,158,134,246,424,577,837,312,346,371,
강서구,"2,867",84,68,202,194,168,506,259,458,359,438,131
구로구,"4,608","1,068",349,187,268,326,540,488,434,415,533,0
금천구,"2,631",0,174,70,361,133,196,539,367,513,207,71
영등포구,"4,056",708,238,123,209,248,311,658,65,1213,283,0
동작구,"2,331",64,25,502,127,253,271,300,311,430,30,18
관악구,"5,342",414,264,304,557,616,681,674,890,404,538,0
서초구,"4,082",191,93,70,562,519,1059,431,359,433,365,0
강남구,"6,871",136,66,580,830,1293,988,745,791,926,516,0
송파구,"3,019",98,90,84,214,143,241,541,1073,235,144,156
강동구,"2,874",295,227,49,154,202,273,377,356,614,262,65
