동별,구분별,항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
합계,합계,외국인주민 총괄(동별),,"408,083","404,037","413,943","446,473","465,885","443,262","426,743"
합계,외국인근로자,외국인주민 총괄(동별),,"102,081","85,878","70,077","80,567","75,322","63,526","49,668"
합계,결혼이민자,외국인주민 총괄(동별),,"27,573","33,139","32,061","32,677","33,281","31,661","31,098"
합계,유학생,외국인주민 총괄(동별),,"31,129","37,178","44,150","50,488","54,647","46,925","51,854"
합계,외국국적동포,외국인주민 총괄(동별),,"80,707","80,712","92,060","93,067","91,166","102,828","103,128"
합계,기타외국인,외국인주민 총괄(동별),,"95,626","98,260","105,579","117,626","135,761","121,514","111,332"
합계,한국국적을 취득한 자,외국인주민 총괄(동별),,"40,520","40,775","41,692","42,040","42,208","43,769","44,768"
합계,외국인주민 자녀(출생),외국인주민 총괄(동별),,"30,447","28,095","28,324","30,008","33,500","33,039","34,895"
종로구,합계,외국인주민 총괄(동별),,"16,440","11,325","11,908","13,012","14,195","12,610","12,009"
종로구,외국인근로자,외국인주민 총괄(동별),,"4,577","1,867","1,479","1,545","1,302","1,157",885
종로구,결혼이민자,외국인주민 총괄(동별),,772,584,600,616,613,628,613
종로구,유학생,외국인주민 총괄(동별),,"2,727","2,870","3,584","4,293","5,037","4,232","4,240"
종로구,외국국적동포,외국인주민 총괄(동별),,"1,871","1,662","1,740","1,636","1,649","1,798","1,683"
종로구,기타외국인,외국인주민 총괄(동별),,"5,455","3,366","3,576","3,966","4,558","3,758","3,523"
종로구,한국국적을 취득한 자,외국인주민 총괄(동별),,572,552,536,514,518,532,516
종로구,외국인주민 자녀(출생),외국인주민 총괄(동별),,466,424,393,442,518,505,549
사직동,합계,외국인주민 총괄(동별),,869,509,438,456,472,418,404
사직동,외국인근로자,외국인주민 총괄(동별),,128,64,52,46,43,45,40
사직동,결혼이민자,외국인주민 총괄(동별),,23,35,44,44,38,48,45
사직동,유학생,외국인주민 총괄(동별),,159,19,6,8,9,13,12
사직동,외국국적동포,외국인주민 총괄(동별),,154,103,103,93,94,115,119
사직동,기타외국인,외국인주민 총괄(동별),,344,233,186,213,231,140,134
사직동,한국국적을 취득한 자,외국인주민 총괄(동별),,21,18,22,22,27,25,19
사직동,외국인주민 자녀(출생),외국인주민 총괄(동별),,40,37,25,30,30,32,35
삼청동,합계,외국인주민 총괄(동별),,222,159,154,209,141,112,87
삼청동,외국인근로자,외국인주민 총괄(동별),,73,40,32,33,13,12,*
삼청동,결혼이민자,외국인주민 총괄(동별),,7,7,8,7,9,8,7
삼청동,유학생,외국인주민 총괄(동별),,***,6,5,7,***,*,*
삼청동,외국국적동포,외국인주민 총괄(동별),,32,15,20,18,19,26,23
삼청동,기타외국인,외국인주민 총괄(동별),,92,82,75,131,86,49,40
삼청동,한국국적을 취득한 자,외국인주민 총괄(동별),,5,6,8,7,7,7,6
삼청동,외국인주민 자녀(출생),외국인주민 총괄(동별),,10,***,6,6,6,9,7
부암동,합계,외국인주민 총괄(동별),,899,599,598,584,638,458,379
부암동,외국인근로자,외국인주민 총괄(동별),,240,112,103,99,81,48,16
부암동,결혼이민자,외국인주민 총괄(동별),,37,26,22,28,25,33,32
부암동,유학생,외국인주민 총괄(동별),,244,217,236,195,229,136,116
