height,weight
159,60
153,41
158,71
172,35
170,59
153,40
171,69
157,47
160,56
154,46
152,47
169,45
172,64
137,79
157,80
185,48
125,69
129,71
180,53
195,57
186,53
181,66
166,68
149,65
174,61
145,78
127,35
146,73
172,69
193,64
135,59
169,42
148,77
148,44
130,72
166,73
189,62
183,63
131,73
194,78
153,74
138,78
145,46
176,64
176,38
150,65
187,67
136,37
144,57
169,57
170,51
143,39
158,56
122,53
140,49
197,51
141,67
142,54
159,71
193,56
193,45
132,37
176,48
185,59
179,36
151,61
184,45
135,77
132,78
142,44
194,78
178,64
130,53
139,40
130,47
155,38
186,38
195,80
188,37
176,70
190,79
189,77
199,73
153,73
199,54
124,62
153,75
189,52
163,69
123,79
194,40
148,66
180,38
136,47
137,76
159,78
132,64
169,75
179,46
123,76
162,49
136,80
140,54
132,38
194,60
140,38
199,79
121,48
181,54
199,57
186,47
144,39
196,50
192,70
179,80
121,36
180,42
130,62
137,44
168,42
190,39
141,65
121,74
135,70
142,78
183,77
137,66
167,79
142,70
137,74
158,64
150,56
192,65
158,65
193,44
144,73
124,43
166,44
164,59
197,77
182,72
172,56
136,59
129,77
187,52
162,61
159,49
141,63
186,58
174,64
170,53
167,41
123,78
141,53
122,43
161,37
179,79
186,76
136,78
148,66
190,39
168,51
126,64
173,43
139,71
159,64
159,72
130,59
197,59
176,69
149,43
171,40
129,60
144,39
161,64
124,58
195,64
189,70
150,59
122,35
194,48
184,50
195,58
125,52
164,58
122,68
161,77
130,57
174,72
187,38
152,50
126,37
181,53
165,43
147,66
177,56
155,58
146,50
123,76
180,65
196,39
173,52
120,75
146,42
136,63
149,62
149,56
135,67
194,58
146,35
192,52
148,66
192,60
157,80
186,59
192,51
174,63
182,71
135,72
189,41
157,66
181,53
136,58
190,80
160,48
195,60
155,64
179,61
186,48
125,53
121,52
175,78
197,71
174,59
177,61
182,66
164,78
151,78
155,60
168,60
138,72
167,38
185,65
127,45
196,65
153,44
128,69
167,75
167,49
132,39
184,49
171,65
191,69
199,69
199,47
141,53
151,49
194,80
144,42
120,44
147,39
122,77
144,72
180,77
174,47
174,36
131,39
143,45
194,63
176,40
149,76
141,61
166,70
197,73
122,72
143,49
147,65
121,50
190,67
188,63
194,79
159,53
163,52
177,62
121,72
134,70
136,59
180,76
192,39
128,78
140,36
128,35
172,66
198,55
172,68
154,80
154,57
120,47
182,77
156,63
150,50
171,80
177,46
172,47
154,78
155,70
188,38
120,48
129,63
182,76
156,80
145,64
157,39
133,58
181,36
151,70
121,73
176,65
166,66
121,75
137,80
163,58
153,54
179,72
155,53
183,69
183,69
165,56
169,59
154,67
140,42
122,62
157,38
176,36
194,53
193,44
152,67
163,56
154,63
182,42
200,50
128,59
167,64
136,56
174,53
123,77
143,74
176,43
183,54
164,35
196,35
178,63
146,45
129,51
169,54
169,73
145,50
196,51
128,55
157,72
142,70
124,47
175,48
179,53
183,38
163,54
156,46
135,51
185,50
138,65
137,47
125,46
184,77
180,40
195,42
183,57
168,56
184,49
167,50
165,66
132,67
155,35
199,78
178,74
166,41
168,65
137,75
177,51
166,80
128,71
173,51
123,79
154,41
195,55
169,60
169,79
130,43
152,43
192,42
173,68
143,40
169,43
193,75
194,79
148,58
124,37
122,36
148,76
129,36
127,59
195,36
175,60
199,43
140,64
145,43
189,67
199,36
122,70
125,47
183,43
123,52
156,43
162,40
131,58
134,47
172,52
177,69
153,64
149,76
148,67
154,59
154,64
154,54
151,66
168,46
199,74
162,43
126,59
191,79
187,63
168,76
157,35
160,36
159,76
177,53
166,80
165,38
145,35
129,63
162,58
144,45
168,35
185,50
121,56
148,71
171,41
196,75
195,35
123,64
125,68
188,54
127,77
147,48
173,43
163,56
181,77
199,45
168,47
162,69
180,64
152,80
153,53
195,59
153,51
125,53
159,79
132,77
161,76
191,35
148,66
163,50
143,56
186,76
123,38
167,77
122,52
182,51
166,40
189,74
184,60
170,54
194,47
188,42
175,78
176,36
121,71
132,56
188,38
194,37
161,50
163,68
160,75
128,39
123,61
155,74
136,58
138,35
142,70
166,35
128,51
187,68
143,48
127,38
164,54
172,55
153,35
189,77
157,41
136,62
194,67
198,59
184,63
156,46
154,40
188,66
192,42
177,68
172,63
143,61
144,48
143,58
126,35
136,40
157,73
133,60
188,62
181,71
150,52
143,66
126,70
183,61
122,46
190,47
158,68
154,65
161,63
151,58
122,54
190,62
127,53
159,46
138,78
124,54
197,72
168,72
129,39
183,37
193,63
188,37
193,39
168,68
130,43
124,64
192,79
192,59
149,74
127,50
145,47
181,80
196,52
176,66
198,41
189,79
155,73
187,36
169,74
125,54
153,59
171,48
143,59
129,48
173,77
178,42
192,52
155,60
161,36
123,75
150,41
129,38
159,37
129,43
126,61
123,39
199,73
122,58
167,74
127,49
162,74
179,74
143,78
174,42
173,66
182,45
158,76
172,53
132,50
131,55
173,74
181,59
137,61
136,55
194,44
163,76
175,62
196,54
142,41
171,70
166,41
121,47
158,40
178,65
165,40
171,77
131,74
126,46
169,70
142,70
152,64
142,74
166,79
142,44
138,42
199,35
178,63
195,63
194,76
166,44
190,67
144,45
143,55
149,44
134,50
147,37
186,37
197,41
189,53
133,79
194,55
128,42
126,40
193,40
140,71
159,68
127,72
170,57
155,39
175,48
189,56
160,51
128,79
172,70
157,35
171,37
155,39
171,61
176,77
155,75
175,51
200,35
131,54
186,80
187,74
122,55
189,47
143,40
166,49
141,57
161,43
122,45
143,78
156,47
197,60
159,53
168,62
200,47
164,39
181,59
189,46
144,40
129,68
165,42
131,64
177,37
186,60
189,53
155,55
136,64
125,43
154,75
181,47
161,72
133,65
151,60
188,60
140,59
186,80
171,64
159,40
171,71
172,58
146,71
130,43
123,60
164,57
188,47
168,67
172,78
139,64
146,40
180,62
132,38
173,54
155,36
167,43
193,72
167,61
196,67
185,53
149,67
123,57
200,61
199,50
157,72
145,75
132,62
185,73
156,46
151,63
154,57
146,41
156,79
130,51
186,35
194,50
186,65
134,55
142,77
145,62
124,76
132,49
176,35
155,47
175,50
139,70
120,61
153,53
120,43
123,49
129,57
200,62
153,80
161,49
193,57
144,41
179,36
122,71
153,71
185,60
199,42
159,46
184,72
153,79
135,58
179,61
122,58
124,62
190,74
188,68
157,57
179,53
200,80
135,46
189,72
173,77
142,76
141,50
124,58
122,40
162,68
191,49
172,66
167,53
192,53
145,46
165,79
144,80
151,71
196,66
137,72
153,67
162,53
125,47
121,76
182,36
185,43
176,54
196,70
196,42
122,51
152,73
185,61
195,46
144,45
199,57
160,78
151,46
200,52
170,71
160,39
168,67
121,35
146,73
163,56
175,65
183,74
166,79
188,67
145,44
187,62
128,61
128,50
146,42
166,73
182,37
127,46
135,68
136,76
179,45
158,69
122,42
191,60
153,57
121,63
179,41
172,36
186,69
189,61
161,61
137,61
161,80
132,71
190,79
177,49
175,58
149,61
134,40
174,50
179,64
150,66
148,67
183,51
170,47
161,57
153,62
135,80
132,54
126,44
129,47
162,44
135,51
126,73
200,49
164,48
159,63
139,56
142,71
125,79
120,66
146,64
156,44
186,38
128,72
156,63
121,74
155,54
180,57
171,61
129,78
144,66
194,66
135,48
198,51
141,73
159,75
190,53
164,48
165,69
168,70
174,55
177,41
122,74
184,37
129,60
163,68
157,37
161,42
196,40
125,41
129,38
134,55
121,62
141,55
173,72
170,55
147,38
135,76
181,57
122,78
170,70
155,50
189,50
167,47
197,39
168,50
199,38
146,72
152,68
129,51
144,55
148,40
138,47
147,55
124,43
132,48
129,60
199,71
162,67
186,63
142,79
150,54
122,57
163,40
161,74
130,58
161,73
184,51
125,39
143,73
196,35
129,41
199,49
169,69
145,39
188,35
122,58
176,72
148,66
155,49
197,61
197,66
132,56
177,68
183,69
157,55
154,67
153,72
166,77
155,76
193,45
132,39
176,44
132,57
161,56
145,68
186,67
143,37
191,63
121,73
140,43
147,39
137,38
168,57
156,67
143,35
183,59
160,49
169,48
128,67
123,72
157,51
167,74
142,63
187,55
129,69
167,66
120,76
164,50
175,58
145,44
158,69
181,51
178,45
189,58
154,73
178,37
195,62
182,75
163,65
179,68
185,39
191,54
170,39
190,36
153,36
153,69
197,78
182,42
186,76
129,43
147,59
130,46
146,44
121,56
180,80
145,63
196,74
138,36
127,75
166,50
153,41
141,36
149,61
137,49
198,42
148,35
120,42
186,48
198,65
194,40
155,64
169,78
127,73
176,55
123,60
183,61
133,78
140,41
173,56
169,71
174,52
148,79
153,64
166,77
157,53
177,64
199,74
126,53
154,47
144,68
179,44
139,74
154,59
150,68
143,63
174,70
151,68
192,80
185,80
172,69
130,45
133,64
164,43
172,58
156,59
157,59
156,79
153,37
165,50
150,78
174,77
152,74
194,67
121,69
129,49
186,67
122,75
140,76
200,52
154,72
181,65
136,48
195,76
177,74
172,44
186,40
121,75
166,59
142,55
146,41
181,36
121,60
182,66
156,53
182,45
132,48
148,43
141,49
173,39
192,63
125,63
133,60
175,79
156,73
159,48
135,66
196,50
155,79
159,45
189,51
167,69
171,51
152,52
137,39
149,76
159,64
157,52
143,35
189,68
190,45
182,68
133,75
151,79
178,41
197,76
166,49
174,47
168,59
183,53
171,57
169,50
147,78
122,60
135,62
147,36
174,37
159,51
197,66
121,67
133,46
186,55
193,44
177,76
135,48
191,47
122,48
175,35
172,42
121,70
125,44
124,78
168,44
141,56
182,40
171,55
185,39
186,43
169,63
192,48
185,35
175,57
189,60
137,77
131,56
177,35
181,52
195,70
129,58
126,78
170,57
120,76
154,45
149,78
148,71
156,71
168,43
166,63
171,56
166,47
161,62
139,79
165,45
169,79
160,71
127,64
152,61
130,50
135,45
158,44
125,46
160,36
155,45
151,80
169,70
200,54
152,61
146,60
130,55
140,59
156,80
143,62
124,58
122,52
132,58
159,42
189,74
195,40
124,75
139,53
172,50
139,54
130,72
153,70
167,45
141,37
173,56
122,58
197,60
173,47
141,55
151,50
194,74
157,56
121,51
129,71
181,65
175,71
143,70
124,77
172,79
127,80
136,41
154,66
159,77
164,79
169,75
130,39
189,79
155,49
199,63
196,39
129,53
200,76
147,57
126,36
191,70
122,47
178,46
153,74
181,55
166,65
122,80
186,50
135,42
179,45
173,49
194,39
161,46
147,35
175,71
156,56
131,60
180,47
131,66
192,57
192,35
168,66
131,71
138,51
200,42
192,43
163,53
194,36
190,58
197,44
168,40
190,73
184,48
189,59
162,39
189,40
167,47
168,39
188,46
130,64
196,36
186,72
129,42
195,68
126,59
127,69
151,60
159,71
152,53
195,58
171,35
163,43
151,79
196,39
138,60
176,73
200,44
130,76
167,44
164,71
145,75
135,69
157,68
179,55
190,69
122,47
194,42
162,78
139,43
127,70
120,75
150,73
187,69
186,45
147,38
185,62
161,46
184,52
148,42
140,56
196,65
123,43
121,58
144,74
129,79
147,62
189,77
172,57
168,54
187,55
137,35
192,67
184,44
143,53
199,68
176,56
196,65
185,79
194,63
123,44
146,72
153,55
200,63
146,67
191,61
146,66
195,48
163,65
147,51
167,56
150,54
123,35
129,42
194,46
182,71
129,63
139,72
153,46
139,40
150,68
168,61
169,70
152,35
135,50
190,79
162,55
130,52
125,80
148,40
182,63
121,55
192,63
183,55
169,40
194,37
147,53
177,71
155,51
150,60
147,80
142,58
144,44
173,61
157,63
130,71
123,42
155,41
176,77
166,73
127,58
189,35
