since,apple,last_year,updown
1980,-,,
1982,18971,,
1983,18058,-913,-4.8
1984,15494,-2564,-14.2
1985,16838,1344,8.7
1986,20676,3838,22.8
1987,25680,5004,24.2
1988,17358,-8322,-32.4
1989,17902,544,3.1
1990,17397,-505,-2.8
1991,13196,-4201,-24.1
1992,10755,-2441,-18.5
1993,12192,1437,13.4
1994,11090,-1102,-9
1995,13264,2174,19.6
1996,14670,1406,10.6
1997,22213,7543,51.4
1998,15148,-7065,-31.8
1999,19518,4370,28.8
2000,19341,-177,-0.9
2001,14513,-4828,-25
2002,16464,1951,13.4
2003,18240,1776,10.8
2004,16080,-2160,-11.8
2005,22483,6403,39.8
2006,20479,-2004,-8.9
2007,18029,-2450,-12
2008,16558,-1471,-8.2
2009,12507,-4051,-24.5
2010,11073,-1434,-11.5
2011,11355,282,2.5
2012,10551,-804,-7.1
2013,9130,-1421,-13.5
2014,9794,664,7.3
2015,9827,33,0.3
2016,10107,280,2.8
2017,10402,295,2.9
2018,7894,-2508,-24.1
2019,7867,-27,-0.3
2020,7516,-351,-4.5
2021,6097,-1419,-18.9
2022,1227,-4870,-79.9
