title,info,topic,date
State of AI Report 2022: Be Prepared for Next Year,Free learning material to prepare you for the world of AI in 2023.,Artificial Intelligence,"- Dec 23, 2022."
What Can AI-Powered RPA and IA Mean For Businesses?,"RPA and IA have stunned the business world by availing impressive, intelligent automation capabilities for scales of businesses across industries, which we'll know in this blog.",Artificial Intelligence,"- Dec 19, 2022."
From Data to Verse: KDnuggets and ChatGPT in Conversation,KDnuggets recently had the opportunity to sit down with newly-released acclaimed artificial intelligence ChatGTP from OpenAI. What we found during the course of conversation was both interesting and surprising. Read on to find out what ChatGPT knew about data science and much more.,Artificial Intelligence,"- Dec 12, 2022."
How Artificial Intelligence Will Change Mobile Apps,"There are numerous ways in which Artificial Intelligence (AI) will change the way we use mobile apps. As more and more users shift towards tablet computers and various mobile platforms, developers are coming up with new ideas for improving user experience. AI holds many key factors for the future of mobile app development and could indeed prove to be a game changer on almost all fronts.",Artificial Intelligence,"- Dec 5, 2022."
The Inescapable Conclusion: Machine Learning Is Not Like Your Brain,The final article in this nine-part series summarizes the many reasons why Machine Learning is not like your brain - along with a few similarities.,Artificial Intelligence,"- Nov 25, 2022."
What To Expect for AI Quality Trends In 2023,"Based on the recent discussions with dozens of Fortune 500 data science teams, we can expect to see a continued spotlight on AI model quality in 2023.",Artificial Intelligence,"- Nov 16, 2022."
Efficiency Spells the Difference Between Biological Neurons and Their Artificial Counterparts,"Part 8 of the series explores a single facet of biological neurons which, so far, have kept them way ahead of their artificial counterparts: their efficiency.",Artificial Intelligence,"- Nov 15, 2022."
How To Create An Effective AI Strategy,This post elaborates on various factors that go into consideration while prioritizing various AI initiatives.,Artificial Intelligence,"- Nov 11, 2022."
The AI Education Gap and How to Close It,"AI education is broken, how do we solve it? Individuals end up learning a specific tool or tactic in a vacuum. They are missing the real-world applicability and collaboration that is critical to building impactful AI solutions in line with the organization’s strategy.",Artificial Intelligence,"- Nov 3, 2022."
In Data We Trust: Data Centric AI,Learn how data-centric AI can improve your model's overall performance.,Artificial Intelligence,"- Oct 27, 2022."
"How I Make $3,500 Online Every Month With Data Science",Here's how you can do the same.,Career Advice,"- Jan 25, 2023."
3 Things I Wish I Knew When I Started Data Science,Looking back and realizing how I was wrong about the data science career.,Career Advice,"- Jan 9, 2023."
Data Science Minimum: 10 Essential Skills You Need to Know to Start Doing Data Science,"Data science is ever-evolving, so mastering its foundational technical and soft skills will help you be successful in a career as a Data Scientist, as well as pursue advance concepts, such as deep learning and artificial intelligence.",Career Advice,"- Dec 30, 2022."
How To Find The Best Data Science Remote Jobs,"Learn Why, What, and How about the best data science remote jobs.",Career Advice,"- Dec 22, 2022."
How to Get Your First Job in Data Science without Any Work Experience,"Creativity, grit, and perseverance will become the three words you live by.",Career Advice,"- Dec 20, 2022."
How to Land a Senior Data Scientist Position,How to differentiate yourself as a senior in data science interviews.,Career Advice,"- Dec 20, 2022."
How To Overcome The Fear of Math and Learn Math For Data Science,"Many aspiring Data Scientists, especially when self-learning, fail to learn the necessary math foundations. These recommendations for learning approaches along with references to valuable resources can help you overcome a personal sense of not being ""the math type"" or belief that you ""always failed in math.""",Career Advice,"- Dec 16, 2022."
How I Tripled My Income With Data Science in 18 Months,"After losing the Job, I taught myself data science and tripled my income.",Career Advice,"- Dec 14, 2022."
"We Don’t Need Data Scientists, We Need Data Engineers","As more people are entering the field of Data Science and more companies are hiring for data-centric roles, what type of jobs are currently in highest demand? There is so much data in the world, and it just keeps flooding in, it now looks like companies are targeting those who can engineer that data more than those who can only model the data.",Career Advice,"- Dec 9, 2022."
How to Prepare for a Data Science Interview,"When interviewing for a data scientist, it’s crucial to know how and what to prepare to be successful. But success also lies in knowing what not to prepare.",Career Advice,"- Dec 6, 2022."
A Guide to Train an Image Classification Model Using Tensorflow,Classify images at scale and with very high accuracy with the advent of machine learning and deep learning algorithms.,Computer Vision,"- Dec 28, 2022."
YOLOv5 PyTorch Tutorial,Learn and train object detection model using YOLOv5.,Computer Vision,"- Dec 15, 2022."
8 Best Python Image Manipulation Tools,Want to extract underlying data from images? This article lists some of the best Python image manipulation tools that help you transform images.,Computer Vision,"- Nov 30, 2022."
Multimodal Grounded Learning with Vision and Language,"How to enable AI models to have similar capabilities: to communicate, to ground, and to learn from language.",Computer Vision,"- Nov 25, 2022."
How to Perform Motion Detection Using Python,"In this article, we will specifically take a look at motion detection using a webcam of a laptop or computer and will create a code script to work on our computer and see its real-time example.",Computer Vision,"- Aug 12, 2022."
How to Convert an RGB Image to Grayscale,"This post is about working with a mixture of color and grayscale images and needing to transform them into a uniform format - all grayscale. We'll be working in Python using the Pillow, Numpy, and Matplotlib packages.",Computer Vision,"- Jul 12, 2022."
Bounding Box Deep Learning: The Future of Video Annotation,Bounding box deep learning has several benefits that make it well-suited for video annotation.,Computer Vision,"- Jul 8, 2022."
6 Things You Need To Know About Data Management And Why It Matters For Computer Vision,This article will explore a few areas that we feel are essential when assessing data management solutions for computer vision.,Computer Vision,"- May 31, 2022."
5 Applications of Computer Vision,CV has the potential to transform industries and how they operate. Here are some of the most notable applications worth exploring.,Computer Vision,"- Mar 4, 2022."
Building a Visual Search Engine – Part 2: The Search Engine,"Ever wonder how Google or Bing finds similar images to your image? The algorithms for generating text based 10 blue-links are very different from finding visually similar or related images. In this article, we will explain one such method to build a visual search engine. We will use the Caltech 101 dataset which contains images of common objects used in daily life.",Computer Vision,"- Feb 17, 2022."
Scaling Data Management Through Apache Gobblin,Software companies can manage big data at a hyper-scale on different infrastructure stacks using Apache Gobblin.,Data Engineering,"- Jan 20, 2023."
SQL and Data Integration: ETL and ELT,"In this article, we will discuss use cases and methods for using ETL (Extract, Transform, Load) and ELT (Extract, Load, Transform) processes along with SQL to integrate data from various sources.",Data Engineering,"- Jan 19, 2023."
Data Lakes and SQL: A Match Made in Data Heaven,"In this article, we will discuss the benefits of using SQL with a data lake and how it can help organizations unlock the full potential of their data.",Data Engineering,"- Jan 16, 2023."
Overcome Your Data Quality Issues with Great Expectations,"Bad data costs organizations money, reputation, and time. Hence it is very important to monitor and validate data quality continuously.",Data Engineering,"- Jan 12, 2023."
Where Collaboration Fails Around Data (And 4 Tips for Fixing It),Data-driven organizations require complex collaboration between data teams and business stakeholders. Here are 4 proactive tips for reducing information asymmetries and achieving better collaboration.,Data Engineering,"- Jan 9, 2023."
7 Essential Cheat Sheets for Data Engineering,"Learn about the data life cycle, PySpark, dbt, Kafka, BigQuery, Airflow, and Docker.",Data Engineering,"- Dec 6, 2022."
The Complete Data Engineering Study Roadmap,Everything you need to know to start your career in Data Engineering.,Data Engineering,"- Nov 28, 2022."
Is OLAP Dead?,"OLAP enables citizen analysts to quickly, efficiently, and cost-effectively uncover new business insights at a reduced time-to-value.",Data Engineering,"- Oct 21, 2022."
Essential Books You Need to Become a Data Engineer,"In this article, I will go through the roadmap of books you need to become a Data Engineer.",Data Engineering,"- Oct 18, 2022."
"11 Questions About Data Engineers: What’s the profession about, and where’s it heading?",I hope my answers will be useful to novice data engineers and anyone interested in data engineering.,Data Engineering,"- Oct 6, 2022."
How to Effectively Use Pandas GroupBy,Split the Pandas DataFrame into groups based on one or more columns and then apply various aggregation functions to each one of them.,Data Science,"- Jan 30, 2023."
Top 8 Data Science Slack Communities to Join in 2023,Take your Data Science journey to the next level by joining these Slack communities in 2023.,Data Science,"- Jan 26, 2023."
5 Free Data Science Books You Must Read in 2023,"Get your hands on these gems to learn Python, data analytics, machine learning, and deep learning.",Data Science,"- Jan 23, 2023."
From Data Collection to Model Deployment: 6 Stages of a Data Science Project,"Here are 6 stages of a novel Data Science Project; From Data Collection to Model in Production, backed by research and examples.",Data Science,"- Jan 23, 2023."
Things Aren’t Always Normal: Some of the “Other” Distributions,"Learn about Gamma, Beta, and Bernoulli distributions with Python.",Data Science,"- Jan 18, 2023."
"20 Questions (with Answers) to Detect Fake Data Scientists: ChatGPT Edition, Part 1","Can ChatGPT provide answers to data science questions to the same standard of humans? Check out this attempt to do so, and compare the answers to those from experts.",Data Science,"- Jan 18, 2023."
Google Data Analytics Certification Review for 2023,"What is the Google Data Analytics Certification? And, more importantly, is it still worth getting it in 2023?",Data Science,"- Jan 12, 2023."
RAPIDS cuDF for Accelerated Data Science on Google Colab,GPU-accelerated dataframe library that implements the familiar pandas API for processing and analyzing your data.,Data Science,"- Jan 11, 2023."
Creating Beautiful Histograms with Seaborn,Visualize the numerical distribution in a beautiful way.,Data Science,"- Jan 11, 2023."
Performing a T-Test in Python,An introduction to the t-test with python implementation.,Data Science,"- Jan 10, 2023."
7 SMOTE Variations for Oversampling,Best oversampling techniques for the imbalanced data.,Machine Learning,"- Jan 27, 2023."
An Introduction to Markov Chains,"Markov chains are often used to model systems that exhibit memoryless behavior, where the system's future behavior is not influenced by its past behavior.",Machine Learning,"- Jan 26, 2023."
Hyperparameter Optimization: 10 Top Python Libraries,Become familiar with some of the most popular Python libraries available for hyperparameter optimization.,Machine Learning,"- Jan 26, 2023."
5 Ways to Deal with the Lack of Data in Machine Learning,"Effective solutions exist when you don't have enough data for your models. While there is no perfect approach, five proven ways will get your model to production.",Machine Learning,"- Jan 24, 2023."
Genetic Programming in Python: The Knapsack Problem,"This article explores the knapsack problem. We will discuss why it is difficult to solve traditionally and how genetic programming can help find a ""good enough"" solution. We will then look at a Python implementation of this solution to test out for ourselves.",Machine Learning,"- Jan 24, 2023."
7 Best Libraries for Machine Learning Explained,Learn about machine learning libraries for building and deploying machine learning models.,Machine Learning,"- Jan 24, 2023."
How to Use Python and Machine Learning to Predict Football Match Winners,We will be learning web scraping and training supervised machine-learning algorithms to predict winning teams.,Machine Learning,"- Jan 18, 2023."
"Idiot’s Guide to Precision, Recall, and Confusion Matrix","Building Machine Learning models is fun, but making sure we build the best ones is what makes a difference. Follow this quick guide to appreciate how to effectively evaluate a classification model, especially for projects where accuracy alone is not enough.",Machine Learning,"- Jan 17, 2023."
Explainable AI: 10 Python Libraries for Demystifying Your Model’s Decisions,Become familiar with some of the most popular Python libraries available for AI explainability.,Machine Learning,"- Jan 16, 2023."
Approaches to Data Imputation,This guide will discuss what data imputation is as well as the types of approaches it supports.,Machine Learning,"- Jan 12, 2023."
Setup and use JupyterHub (TLJH) on AWS EC2,"JupyterHub is a multi-user, container-friendly version of the Jupyter Notebook. However, it can be difficult to setup. This blog post will make you less likely to run into issues in this 15+ step process.",MLOps,"- Jan 23, 2023."
12 Docker Commands Every Data Scientist Should Know,Looking to add Docker to your data science toolbox? Here’s a list of essential Docker commands to help you get started.,MLOps,"- Jan 17, 2023."
Beginner’s Guide to Cloud Computing,"Learn how cloud computing works, different types of models, top cloud platforms, and applications.",MLOps,"- Jan 10, 2023."
The Complete MLOps Study Roadmap,Kickstart your career as an MLOps Engineer with this study roadmap.,MLOps,"- Dec 14, 2022."
Top 10 MLOps Tools to Optimize & Manage Machine Learning Lifecycle,"As more businesses experiment with data, they realize that developing a machine learning (ML) model is only one of many steps in the ML lifecycle.",MLOps,"- Oct 25, 2022."
The Machine Learning Lifecycle,Learn about the standard process for building sustainable machine learning applications.,MLOps,"- Sep 23, 2022."
The Absolute Basics of MLOps,This article is for people who don’t know a thing about MLOps or want to refresh their memory.,MLOps,"- Sep 22, 2022."
Is There a Way to Bridge the MLOps Tools Gap?,"Converting Jupyter notebooks to a well-designed software system is a mandatory step in every ML project. But there is a notable lack of tooling to assist developers with such translation, beyond the basic nbconvert utility.",MLOps,"- Aug 16, 2022."
Free MLOps Crash Course for Beginners,"Interest in, and demand for, MLOps is growing exponentially. What, exactly, is it? Why is it important? Where should you turn next to learn more? Check out this crash course to find the answers to these questions and more.",MLOps,"- Aug 1, 2022."
MLOps: The Key To Pushing AI Into The Mainstream,"In this blog, we will aim at discussing the reasons that make MLOps an essential aspect of pushing AI mainstream. Besides, we will highlight the capabilities of MLOps as a catalyst for AI implementation.",MLOps,"- Jul 14, 2022."
The ChatGPT Cheat Sheet,Impress your friends and loved ones by perfecting your ChatGPT prompt engineering game with this incredibly useful resource.,Natural Language Processing,"- Jan 26, 2023."
Encoding Categorical Features with MultiLabelBinarizer,Transform multi-label format into a binary matrix for multi-label classification.,Natural Language Processing,"- Jan 20, 2023."
Mastering String Transformations in RAPIDS libcudf,This post demonstrates how to skillfully transform strings columns with the libcudf general-purpose API. You’ll gain new knowledge on how to unlock peak performance using custom kernels and libcudf device-side utilities.,Natural Language Processing,"- Jan 19, 2023."
ChatGPT: Everything You Need to Know,"All you need to know about ChatGPT: what it can do, how it works, and its limitations.",Natural Language Processing,"- Jan 16, 2023."
Concepts You Should Know Before Getting Into Transformers,"Learn about Input Embedding, Positional Encoding, Scaled Dot-Product Attention, Residual Connections, Mask, and Softmax function.",Natural Language Processing,"- Jan 13, 2023."
Topic Modeling Approaches: Top2Vec vs BERTopic,This post gives an overview of the strengths and differences of these approaches in extracting topics from text.,Natural Language Processing,"- Jan 11, 2023."
Creating a Web Application to Extract Topics from Audio with Python,A step-by-step tutorial to build and deploy a web application for topic modeling of a Spotify podcast.,Natural Language Processing,"- Jan 6, 2023."
Natural Language Processing with spaCy,Learn to build NLP projects using spaCy.,Natural Language Processing,"- Jan 4, 2023."
How To Collect Data For Customer Sentiment Analysis,"Customer sentiment analysis involves collecting, analyzing, and leveraging data to understand customers' feelings. This article focuses on how to collect data for customer sentiment analysis.",Natural Language Processing,"- Dec 16, 2022."
Top 5 NLP Cheat Sheets for Beginners to Professional,"The cheat sheets cover various NLP techniques, tasks, algorithms, frameworks, and analytics.",Natural Language Processing,"- Dec 13, 2022."
Top Posts January 23-29: The ChatGPT Cheat Sheet,"The ChatGPT Cheat Sheet • ChatGPT as a Python Programming Assistant • How to Select Rows and Columns in Pandas Using [ ], .loc, iloc, .at and .iat • 5 Free Data Science Books You Must Read in 2023 • From Data Collection to Model Deployment: 6 Stages of a Data Science Project",News,"- Jan 30, 2023."
"KDnuggets News, January 25: ChatGPT as a Python Programming Assistant • Python and Machine Learning to Predict Football Match Winners","ChatGPT as a Python Programming Assistant • How to Use Python and Machine Learning to Predict Football Match Winners • 20 Questions (with Answers) to Detect Fake Data Scientists: ChatGPT Edition, Part 1 • From Data Collection to Model Deployment: 6 Stages of a Data Science Project • 5 Free Data Science Books You Must Read in 2023",News,"- Jan 25, 2023."
Top Posts January 16-22: ChatGPT as a Python Programming Assistant,"ChatGPT as a Python Programming Assistant • ChatGPT: Everything You Need to Know • Explainable AI: 10 Python Libraries for Demystifying Your Model’s Decisions • How to Use Python and Machine Learning to Predict Football Match Winners • 20 Questions (with Answers) to Detect Fake Data Scientists: ChatGPT Edition, Part 1",News,"- Jan 23, 2023."
"KDnuggets News, January 18: 7 Best Platforms to Practice SQL • Explainable AI: 10 Python Libraries for Demystifying Your Model’s Decisions",7 Best Platforms to Practice SQL • Explainable AI: 10 Python Libraries for Demystifying Your Model's Decisions • ChatGPT: Everything You Need to Know • Data Lakes and SQL: A Match Made in Data Heaven • Google Data Analytics Certification Review for 2023,News,"- Jan 18, 2023."
KDnuggets Top Posts for December 2022: 5 Python Projects for Data Science Portfolio,3 Free Machine Learning Courses for Beginners • The Complete Machine Learning Study Roadmap •Markdown Cheat Sheet • Learn Data Science From These GitHub Repositories • 7 Essential Cheat Sheets for Data Engineering • Scikit-Learn Cheat Sheet for Machine Learning • 7 Super Cheat Sheets You Need To Ace Machine Learning Interview,News,"- Jan 16, 2023."
Top Posts January 9-15: Python Matplotlib Cheat Sheets,Python Matplotlib Cheat Sheets • How to Select Rows and Columns in Pandas • 7 Best Platforms to Practice SQL • How to Perform Unit Testing in Python? • Google Data Analytics Certification Review,News,"- Jan 16, 2023."
Top Posts January 2-8: Python Matplotlib Cheat Sheets,"Python Matplotlib Cheat Sheets • Free Data Management with Data Science Learning with CS639 • How to Select Rows and Columns in Pandas Using [ ], .loc, iloc, .at and .iat • Creating a Web Application to Extract Topics from Audio with Python • More Data Science Cheatsheets",News,"- Jan 12, 2023."
"KDnuggets News, January 11: Python Matplotlib Cheatsheets • More Data Science Cheatsheets • Data Science & Machine Learning Developments of 2022","Key Data Science, Machine Learning, AI and Analytics Developments of 2022 • Python Matplotlib Cheat Sheets • More Data Science Cheatsheets • Free Data Management with Data Science Learning with CS639 • Data-Driven Holiday Cheer: How Santa is Using Analytics to Make the Season Bright",News,"- Jan 11, 2023."
