연월,서울,인천,경기,강원,충청,전북,광주,대구,부산,제주
Jan-16,1110948,539952,884621,77545,275615,230249,220168,355646,553342,
Feb-16,911323,441262,769085,63447,231933,178604,200121,299373,462628,
Mar-16,718859,387889,682050,55284,197986,193081,210464,271042,464287,
Apr-16,417299,288915,453910,33572,106757,137068,157493,208573,319444,
May-16,354428,278423,375331,44665,119412,153391,145237,198135,307294,
Jun-16,351269,367304,401342,41104,109522,149399,138729,194935,310203,
Jul-16,402772,445710,376995,51173,107751,179305,146867,185884,388765,
Aug-16,421003,427250,418494,48136,99393,179948,121880,191966,358416,
Sep-16,359315,356851,362632,28905,100447,165998,114869,186283,354410,
Oct-16,468053,485370,401488,39585,134042,193100,140243,209424,430838,
Nov-16,824234,486448,710593,52733,176022,234535,186336,285149,489707,
Dec-16,984626,488382,838634,65910,224606,217313,209640,333217,532107,
Jan-17,1070977,483790,921836,72364,257190,241874,218458,346353,556951,
Feb-17,963920,442495,831264,67973,240413,210613,202510,305999,505361,
Mar-17,863948,372899,717838,71074,198235,212248,200890,279501,488378,
Apr-17,546641,284591,461616,53225,146178,163593,153190,210139,384542,
May-17,522354,296970,331790,39894,124062,157116,116648,179248,290538,
Jun-17,566067,318623,362232,58615,105837,168802,149361,183787,305671,
Jul-17,569322,450168,403612,69542,113655,195669,153278,179711,344385,
Aug-17,503817,377675,393350,59144,114116,165212,141512,169564,335458,
Sep-17,401011,238982,378779,59698,89995,135108,145685,165858,356617,
Oct-17,472761,211570,416721,62474,121888,145993,158992,180183,369238,
Nov-17,881089,408925,759460,102283,211722,217457,218816,253619,544965,
Dec-17,1198825,526482,1030773,150852,285706,314524,270485,354053,784391,
Jan-18,1306019,525265,1096713,143020,316138,326679,282954,385199,817411,
Feb-18,1083940,426179,919659,118700,267299,266063,236396,317371,702277,
Mar-18,861854,397067,787952,107502,208521,259050,245327,284204,682549,
Apr-18,623094,431445,613685,79253,165043,214129,212027,235828,541474,
May-18,545501,373293,508480,80185,132969,204443,172675,203976,511529,
Jun-18,513890,330485,522726,84662,122178,189433,179262,189502,487844,
Jul-18,550413,402524,567560,68980,119359,182652,171419,180263,505976,
Aug-18,562150,450755,528696,64667,119086,164729,150491,174791,504658,
Sep-18,411668,237015,397459,55169,108678,142816,173207,148228,479794,
Oct-18,650091,321786,525184,66581,155519,216428,209812,226121,582951,
Nov-18,802986,338511,729779,109214,206756,225061,200488,275455,620448,
Dec-18,1156423,467986,1015852,147636,287541,282119,256242,354479,760285,
Jan-19,1197115,479524,1057754,134931,305136,292055,268420,366306,765885,
Feb-19,947086,408251,860567,103276,249026,238337,229559,294152,621366,
Mar-19,802516,421617,816449,99760,224529,227282,248229,267247,560150,
Apr-19,659011,373103,673996,83069,141893,216306,210832,242284,576941,
May-19,497942,294030,561636,67094,100330,216179,167216,192203,487348,
Jun-19,425937,263872,496304,55616,93217,158125,168483,175168,467036,
Jul-19,549816,340993,540714,62438,106938,196867,199343,190980,503868,
Aug-19,541424,363493,546527,63178,102052,195217,186268,184672,473906,
Sep-19,436463,283959,471322,59313,101259,161428,178620,174191,434074,
Oct-19,489290,308546,609332,71558,132149,163142,196230,201786,465281,
Nov-19,788723,415026,807752,96317,195972,203189,239684,249704,575267,
Dec-19,1166071,563785,1088714,111536,279061,254705,288761,348513,714539,
Jan-20,1110884,524578,1055378,133481,283812,260305,287521,347622,736537,
Feb-20,985989,451125,951535,109469,252730,232453,263414,315519,642301,
Mar-20,831554,402468,878238,95481,215960,206269,269945,286413,615914,
Apr-20,537303,303158,644064,66596,180792,151790,216372,228021,474795,
May-20,373143,218414,511769,52546,125887,113151,174850,165336,399198,
Jun-20,394160,294017,493857,53810,120085,164283,178352,172351,391135,
Jul-20,479846,295606,530427,54858,119057,161215,182535,180027,432308,
Aug-20,532177,442312,576234,65711,124928,195813,181924,186830,466854,
Sep-20,461306,398901,492021,69376,126417,196777,196296,194697,500720,
Oct-20,620140,397655,563239,61120,126886,212470,193099,212882,529862,
Nov-20,831239,439241,786199,94770,191761,186592,227163,281628,597959,
Dec-20,1184955,580969,1158498,147138,295907,307649,296531,378673,820778,
