년도,구분,최대공급월,최대공급량,최소공급월,최소공급량
2016,발전,11,1675857,04,875314
2016,시설이용,07,130597,04,47120
2016,도시가스,01,2623661,08,786742
2016,직공급,01,21957,09,13611
2016,총공급량,01,4270043,05,1992217
2017,발전,12,1788651,05,739145
2017,시설이용,07,358513,01,134703
2017,도시가스,12,2786012,08,824278
2017,직공급,12,18325,10,13552
2017,총공급량,12,4934417,09,1987523
2018,발전,01,1851065,09,893260
2018,시설이용,12,456078,02,285291
2018,도시가스,01,3008709,08,913634
2018,직공급,01,18980,07,14427
2018,총공급량,01,5218376,09,2168497
2019,발전,12,1826040,06,941080
2019,시설이용,12,538949,09,389301
2019,도시가스,01,2775829,08,873994
2019,직공급,12,18542,06,13674
2019,총공급량,01,4884467,09,2315358
2020,발전,12,1802451,05,652356
2020,시설이용,08,695835,06,529236
2020,도시가스,12,2713189,06,834750
2020,직공급,01,18505,08,13752
2020,총공급량,12,5216968,05,2161085
