ID,total_rental
A600,7206.47
A601,7247.87
A602,7313.78
A603,6171.49
A604,4740.76
A605,6571.55
A606,6901.9
A607,7282.78
A608,7162.83
A609,6862.66
A610,7053.27
A611,5395.53
A612,5570.63
A613,5498.58
A614,6255.67
A615,5781.7
A616,6552.75
A617,5056.78
A618,6839.67
A619,6849.85
A620,6789.79
A621,7293.68
A622,7230.44
A623,7475.98
A624,7526.34
A625,6582.13
A626,6134.79
A627,4790.99
A628,6973.36
A629,6941.68
A630,7432.11
A631,7218.32
A632,6659.31
A633,6789.16
A634,6805.32
A635,7171.24
A636,7074.14
A637,7150.95
A638,6980.13
A639,6605.57
A640,6599.61
A641,5441.57
A642,5357.92
A643,6599.7
A644,7565.62
A645,6940.29
A646,5189.82
A647,4821.75
A648,5138.14
A649,6773.51
A650,6159.56
A651,6153.82
A652,5878.54
A653,6450.6
A654,6320.91
A655,5961.48
A656,5882.99
A657,6005.74
A658,6084.58
A659,6343.56
A660,5622.45
A661,6125.47
A662,6888.25
A663,6969.62
A664,6021.85
A665,6119.47
A666,6205.63
A667,5712.97
A668,4608.45
A669,3998.71
A670,5489.72
A671,5920.24
A672,5943.65
A673,5714.86
A674,5674.44
A675,5637.84
A676,5891.13
A677,5556.54
A678,5768.21
A679,6018.99
A680,5627.83
A681,5727.9
A682,5722.43
A683,5337.44
A684,5799.53
A685,5828.85
A686,5822.74
A687,5746.37
A688,4693.24
A689,5627.89
A690,5083.67
A691,5688.98
A692,5634.59
A693,5860.4
A694,5102.27
A695,5352.01
A696,5468.23
A697,4695.61
A698,5629.73
A699,5620.09
A700,5513.1
A701,4213.74
A702,3767.42
A703,5826.53
A704,5834.4
A705,6178.52
A706,5767.16
A707,4828.06
A708,4279.15
A709,4050.03
A710,4431.03
A711,5710.94
A712,5751.28
A713,5659.09
A714,5678.28
A715,5369.38
A716,3809.35
A717,4296.97
A718,5821.06
A719,5711.41
A720,5399.34
A721,4147.7
A722,3569.89
A723,3901.93
A724,3284.52
A725,3595.05
A726,3110.93
A727,3646.35
A728,3986.12
A729,3416.92
A730,3487.27
