ID,total_rental
A600,7603.227379358829
A601,7045.5814564994
A602,7396.931236923145
A603,6331.24956326738
A604,6093.097031911234
A605,6850.7604087236095
A606,7191.499186915646
A607,7415.159687336924
A608,7509.9020381110695
A609,6902.18973768226
A610,7287.671435396029
A611,6248.53115577897
A612,6673.976387334927
A613,6734.279479401296
A614,6494.258587014188
A615,5943.297000925796
A616,7261.259573606054
A617,5810.926071611419
A618,7424.936675370576
A619,7281.568583808499
A620,7095.30694964842
A621,7494.826991861371
A622,7503.053665009262
A623,7278.250590403057
A624,7203.919705326026
A625,7051.694246058425
A626,6593.923085989268
A627,4570.971500913863
A628,6989.880957240385
A629,7105.763549152879
A630,7240.300559113767
A631,7485.70014715046
A632,6953.159636332951
A633,6494.425847726737
A634,7095.912655755484
A635,7278.453537960025
A636,7307.731941486587
A637,6897.676491578079
A638,7371.37849615173
A639,7150.899203530497
A640,6506.3945059379075
A641,5928.678952890562
A642,6939.229437863792
A643,7379.009005514161
A644,7290.317186547698
A645,7280.588588461966
A646,5932.915642243493
A647,5852.314880285906
A648,5837.987108073397
A649,6740.569589539931
A650,6102.887762972615
A651,6150.616724345813
A652,6087.246700634903
A653,6689.383800038402
A654,6704.800051640761
A655,6011.053786213261
A656,6004.59872369721
A657,5930.063027351703
A658,5900.208520265693
A659,6414.989378369599
A660,6049.386849623393
A661,6032.647779575534
A662,6972.971780256292
A663,7590.277217551178
A664,6699.473716915656
A665,6533.908176427394
A666,6644.063382853805
A667,5901.528576119837
A668,3227.190718375025
A669,3393.204105776852
A670,5841.9139345847225
A671,5839.574834425787
A672,5943.521993523718
A673,6045.051107453005
A674,5826.495065616697
A675,5856.845445963599
A676,5675.650034887805
A677,5955.784044468318
A678,5821.805804841455
A679,5876.057385057693
A680,5852.917898435842
A681,6086.1652133115285
A682,5921.2547777776845
A683,5831.882548310907
A684,5697.500219743253
A685,5775.238578667574
A686,5833.238627465494
A687,5783.858074953007
A688,5816.494788707869
A689,5816.460929480975
A690,5806.035128412347
A691,5795.700035476729
A692,5853.067162743208
A693,5932.973276543625
A694,5144.412478275553
A695,5875.344461873358
A696,5755.19620582544
A697,4137.60150834033
A698,5756.447867197838
A699,5710.828881751312
A700,5702.436493732966
A701,5747.569435245183
A702,4646.857464068799
A703,5963.253889756475
A704,5994.828813593993
A705,6136.567180844965
A706,5699.211562596601
A707,5022.50945962177
A708,4833.8834651745565
A709,4622.877513017647
A710,5518.188277430371
A711,5977.411201592624
A712,5787.687223881351
A713,5767.111235685756
A714,5837.99599260748
A715,5761.700998766804
A716,5817.734472118688
A717,4783.323864877445
A718,5940.12767672131
A719,5691.931798315679
A720,5862.220316094348
A721,3234.7246653441352
A722,2966.6898723874087
A723,3300.6413417243725
A724,3314.7348661719534
A725,2598.490906909436
A726,1832.1995300026028
A727,2805.9973898958497
A728,3352.7112758648063
A729,2703.1672851001877
A730,2691.9351236724506
