ID,total_rental
A600,7372.3516
A601,7486.996
A602,7429.462
A603,5769.052
A604,4010.544
A605,6623.3105
A606,6911.9175
A607,7430.1016
A608,7379.7227
A609,6756.663
A610,7336.9087
A611,5804.114
A612,5477.991
A613,5257.8296
A614,5893.4746
A615,6269.2437
A616,6663.707
A617,4061.6982
A618,6852.694
A619,6971.811
A620,6820.629
A621,7183.184
A622,7532.323
A623,7686.065
A624,7577.9316
A625,7039.6777
A626,6363.046
A627,3971.2554
A628,7030.309
A629,7242.789
A630,7328.9233
A631,7122.6616
A632,6544.831
A633,6622.3335
A634,6679.7866
A635,7314.7505
A636,7404.84
A637,7117.935
A638,7380.79
A639,6847.7993
A640,6854.1055
A641,5821.159
A642,6176.945
A643,6834.281
A644,7586.3574
A645,6843.3774
A646,5772.8184
A647,4794.2065
A648,5799.6914
A649,7097.38
A650,6458.51
A651,6819.615
A652,5525.314
A653,6568.5454
A654,6339.509
A655,5951.092
A656,6468.5884
A657,5245.9717
A658,6323.6787
A659,6907.155
A660,5972.2056
A661,6203.5205
A662,6960.9424
A663,7551.805
A664,6255.8804
A665,6167.078
A666,5613.6577
A667,5677.6313
A668,4920.4473
A669,3901.3904
A670,4196.658
A671,5140.3696
A672,5159.442
A673,4805.673
A674,4733.525
A675,4587.1772
A676,4061.3826
A677,3526.3455
A678,4855.889
A679,5298.2144
A680,5023.174
A681,6012.3027
A682,5991.4883
A683,3953.387
A684,4087.5642
A685,4854.0093
A686,4910.3647
A687,4945.949
A688,3793.9958
A689,4983.24
A690,4098.5947
A691,4749.083
A692,4263.2197
A693,4949.6265
A694,2546.9849
A695,3630.6804
A696,4342.4854
A697,2920.124
A698,4240.97
A699,3767.9937
A700,4086.5222
A701,3557.0823
A702,4313.5293
A703,5771.2944
A704,6082.2954
A705,6596.788
A706,4047.198
A707,3606.2383
A708,4021.6218
A709,4313.245
A710,5253.279
A711,4846.0415
A712,4042.424
A713,4198.5044
A714,3711.3538
A715,3883.3394
A716,4050.916
A717,4103.2734
A718,5098.5127
A719,5025.7104
A720,3989.1797
A721,3753.7134
A722,2355.689
A723,3423.96
A724,2659.521
A725,2866.827
A726,2507.1685
A727,2869.6555
A728,3788.2805
A729,2358.4453
A730,2246.7817
